X	Control	PRF1	EXT	PRF2
1	-0.1028	0.5992	0.7299	1.1870
3	-0.2188	2.5080	3.2750	3.5530
5	-0.1877	2.7350	4.2530	4.2530
7	0.6106	3.7130	4.2680	4.8230
9	-0.0931	3.6130	4.3150	4.3150
11	0.0033	2.8440	4.3620	4.9340
13	0.4097	4.7850	5.4220	6.3530
15	0.2612	3.0690	4.8330	4.0000
19	0.1926	3.7030	1.3030	3.1800
21	0.0114	3.1130	0.9583	3.7010
23	-0.1208	2.3120	0.6138	2.7530
25	0.0897	2.8490	0.5142	3.1430
27	0.1534	2.7170	0.2187	3.3370
29	0.5599	2.7150	0.5600	3.0580
31	0.1338	2.8110	-0.3233	3.1540
33	-0.2597	2.7610	0.1158	2.1240
35	-0.3430	2.8080	0.3265	2.2040
37	-0.6385	2.6430	0.0146	1.7620
39	-0.2482	2.3150	0.0456	1.8580
41	0.2562	1.6600	0.1419	1.3660
