      X          Y
 0.1305E+00 0.1233E+02        
 0.3516E+00 0.7581E+01        
 0.5374E+00 0.4800E+01        
 0.7842E+00 0.5079E+01        
 0.1260E+01 0.6772E+01        
 0.1466E+01 0.4779E+01        
 0.1655E+01 0.4131E+01        
 0.1842E+01 0.2532E+01        
 0.2245E+01 0.5824E+01        
 0.2413E+01 0.3947E+01        
 0.2658E+01 0.2581E+01        
 0.2864E+01 0.1214E+01        
 0.3250E+01 0.6198E+01        
 0.3474E+01 0.3348E+01        
 0.3682E+01 0.2931E+01        
 0.3833E+01 0.2561E+01        
 0.4330E+01 0.5877E+01        
 0.4519E+01 0.5507E+01        
 0.4724E+01 0.2262E+01        
 0.4932E+01 0.2240E+01        
 0.5335E+01 0.5578E+01        
 0.5503E+01 0.3771E+01        
 0.5729E+01 0.2543E+01        
 0.5957E+01 0.2984E+01        
 0.6377E+01 0.5257E+01        
 0.6527E+01 0.3797E+01        
 0.6732E+01 0.1573E+01        
 0.6960E+01 0.1712E+01        
 0.7380E+01 0.4425E+01        
 0.7587E+01 0.2966E+01        
 0.7737E+01 0.1923E+01        
 0.7946E+01 0.1762E+01        
 0.8365E+01 0.3269E+01        
 0.8610E+01 0.2528E+01        
 0.8779E+01 0.1416E+01        
 0.8987E+01 0.8838E+00        
 0.9370E+01 0.3690E+01        
 0.9596E+01 0.2948E+01        
 0.9784E+01 0.1303E+01        
 0.1001E+02 0.1119E+01        
 0.1041E+02 0.2325E+01        
 0.1054E+02 0.1282E+01        
 0.1083E+02 0.1422E+01        
 0.1100E+02 0.1168E+01        
 0.1145E+02 0.2792E+01        
 0.1159E+02 0.2653E+01        
 0.1183E+02 0.1471E+01        
 0.1204E+02 0.1634E+01        
 0.1246E+02 0.3281E+01        
 0.1269E+02 0.1938E+01        
 0.1289E+02 0.2448E+01        
 0.1308E+02 0.1915E+01        
 0.1354E+02 0.2473E+01        
 0.1373E+02 0.1106E+01        
 0.1390E+02 0.1199E+01        
 0.1413E+02 0.1339E+01        
 0.1449E+02 0.2035E+01        
 0.1471E+02 0.1943E+01        
 0.1488E+02 0.1341E+01        
 0.1515E+02 0.1272E+01        
 0.1557E+02 0.1830E+01        
 0.1572E+02 0.1413E+01        
 0.1596E+02 0.1321E+01        
 0.1615E+02 0.6959E+00        
